DATE,INTDSRRUM193N
1995-01-01,200
1995-02-01,200
1995-03-01,200
1995-04-01,200
1995-05-01,195
1995-06-01,180
1995-07-01,180
1995-08-01,180
1995-09-01,180
1995-10-01,170
1995-11-01,170
1995-12-01,160
1996-01-01,160
1996-02-01,120
1996-03-01,120
1996-04-01,120
1996-05-01,120
1996-06-01,120
1996-07-01,110
1996-08-01,80
1996-09-01,80
1996-10-01,60
1996-11-01,60
1996-12-01,48
1997-01-01,48
1997-02-01,42
1997-03-01,42
1997-04-01,36
1997-05-01,36
1997-06-01,24
1997-07-01,24
1997-08-01,24
1997-09-01,24
1997-10-01,21
1997-11-01,28
1997-12-01,28
1998-01-01,28
1998-02-01,39
1998-03-01,30
1998-04-01,30
1998-05-01,150
1998-06-01,80
1998-07-01,60
1998-08-01,60
1998-09-01,60
1998-10-01,60
1998-11-01,60
1998-12-01,60
1999-01-01,60
1999-02-01,60
1999-03-01,60
1999-04-01,60
1999-05-01,60
1999-06-01,55
1999-07-01,55
1999-08-01,55
1999-09-01,55
1999-10-01,55
1999-11-01,55
1999-12-01,55
2000-01-01,45
2000-02-01,45
2000-03-01,33
2000-04-01,33
2000-05-01,33
2000-06-01,33
2000-07-01,28
2000-08-01,28
2000-09-01,28
2000-10-01,25
2000-11-01,25
2000-12-01,25
2001-01-01,25
2001-02-01,25
2001-03-01,25
2001-04-01,25
2001-05-01,25
2001-06-01,25
2001-07-01,25
2001-08-01,25
2001-09-01,25
2001-10-01,25
2001-11-01,25
2001-12-01,25
2002-01-01,25
2002-02-01,25
2002-03-01,25
2002-04-01,23
2002-05-01,23
2002-06-01,23
2002-07-01,23
2002-08-01,21
2002-09-01,21
2002-10-01,21
2002-11-01,21
2002-12-01,21
2003-01-01,21
2003-02-01,18
2003-03-01,18
2003-04-01,18
2003-05-01,18
2003-06-01,16
2003-07-01,16
2003-08-01,16
2003-09-01,16
2003-10-01,16
2003-11-01,16
2003-12-01,16
2004-01-01,14
2004-02-01,14
2004-03-01,14
2004-04-01,14
2004-05-01,14
2004-06-01,13
2004-07-01,13
2004-08-01,13
2004-09-01,13
2004-10-01,13
2004-11-01,13
2004-12-01,13
2005-01-01,13
2005-02-01,13
2005-03-01,13
2005-04-01,13
2005-05-01,13
2005-06-01,13
2005-07-01,13
2005-08-01,13
2005-09-01,13
2005-10-01,13
2005-11-01,13
2005-12-01,12
2006-01-01,12
2006-02-01,12
2006-03-01,12
2006-04-01,12
2006-05-01,12
2006-06-01,11.5
2006-07-01,11.5
2006-08-01,11.5
2006-09-01,11.5
2006-10-01,11
2006-11-01,11
2006-12-01,11
2007-01-01,10.5
2007-02-01,10.5
2007-03-01,10.5
2007-04-01,10.5
2007-05-01,10.5
2007-06-01,10
2007-07-01,10
2007-08-01,10
2007-09-01,10
2007-10-01,10
2007-11-01,10
2007-12-01,10
2008-01-01,10
2008-02-01,10.25
2008-03-01,10.25
2008-04-01,10.5
2008-05-01,10.5
2008-06-01,10.75
2008-07-01,11
2008-08-01,11
2008-09-01,11
2008-10-01,11
2008-11-01,12
2008-12-01,13
2009-01-01,13
2009-02-01,13
2009-03-01,13
2009-04-01,12.5
2009-05-01,12
2009-06-01,11.5
2009-07-01,11
2009-08-01,10.75
2009-09-01,10
2009-10-01,9.5
2009-11-01,9
2009-12-01,8.75
2010-01-01,8.75
2010-02-01,8.5
2010-03-01,8.25
2010-04-01,8.25
2010-05-01,7.75
2010-06-01,7.75
2010-07-01,7.75
2010-08-01,7.75
2010-09-01,7.75
2010-10-01,7.75
2010-11-01,7.75
2010-12-01,7.75
2011-01-01,7.75
2011-02-01,8
2011-03-01,8
2011-04-01,8
2011-05-01,8.25
2011-06-01,8.25
2011-07-01,8.25
2011-08-01,8.25
2011-09-01,8.25
2011-10-01,8.25
2011-11-01,8.25
2011-12-01,8
2012-01-01,8
2012-02-01,8
2012-03-01,8
2012-04-01,8
2012-05-01,8
2012-06-01,8
2012-07-01,8
2012-08-01,8
2012-09-01,8.25
2012-10-01,8.25
2012-11-01,8.25
2012-12-01,8.25
2013-01-01,8.25
2013-02-01,8.25
2013-03-01,8.25
2013-04-01,8.25
